Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
64.25,12.25,4.61,1083.4,17,1.3426,NaN
-84.75,-114.75,-32,37.21,15,NaN,NaN
49.25,34.25,8.25,537.04,12,1.8069,1.8069
-84.75,114.75,-50.72,29.63,15,NaN,NaN
-81.75,-4.25,-34.73,196.5,15,NaN,NaN
-81.75,4.25,-41.43,103.01,15,NaN,NaN
38.75,-103.75,8.89,309.89,10,0.42807,0.42807
6.25,19.75,24.93,1370,5,5.4929,5.4929
-6.25,19.75,24.22,1537.6,9,5.1712,5.1712
38.75,103.75,8.2,135.18,16,1.4237,NaN
-84.75,-170.75,-28.07,169.69,15,NaN,NaN
71.25,-106.75,-11.11,241.12,10,0.3999,0.3999
71.25,106.75,-15.16,235.21,7,0.31871,0.31871
-71.25,106.75,-35.36,384.55,15,NaN,NaN
-72.25,149.25,-31.69,556.68,15,NaN,NaN
19.25,81.25,24.15,1446.2,5,3.968,3.968
55.25,30.25,5.53,672.69,13,2.384,NaN
72.25,-28.25,-17.66,327.63,15,NaN,NaN
-72.25,28.25,-27.13,384.48,15,NaN,NaN
-8.75,117.25,23.58,1293.8,2,7.0873,7.0873
67.75,60.25,-5.07,451,7,0.65624,0.65624
-67.75,60.25,-16.53,420.29,15,NaN,NaN
47.25,8.75,9.66,1385,9,3.7048,3.7048
40.75,39.25,7,811.46,5,2.6421,2.6421
-79.75,154.75,-31.45,217.72,15,NaN,NaN
59.25,51.25,1.19,605.56,5,2.5338,2.5338
43.75,113.25,3.62,173.39,10,0.46711,0.46711
64.75,168.25,-12.04,359.6,7,0.68884,0.68884
50.75,-119.75,8.14,454.56,1,2.6824,2.6824
6.25,-69.25,27.31,1848.2,9,1.6544,1.6544
-6.25,-69.25,25.89,2422,2,6.7135,6.7135
50.75,119.75,-3.05,373.62,12,1.6665,1.6665
18.75,-96.75,23.77,2334,12,5.4915,5.4915
-85.25,-13.25,-42.04,73.64,15,NaN,NaN
-85.25,13.25,-46.66,30.28,15,NaN,NaN
18.75,96.75,23.11,2378.2,2,5.6041,5.6041
-1.75,132.75,27.12,2529,2,7.2871,7.2871
71.25,-81.75,-14.4,207.92,10,0.18523,0.18523
65.25,-71.75,-9.24,390.76,10,0.20885,0.20885
80.75,-70.25,-27.63,111.9,15,NaN,NaN
-80.75,70.25,-56.3,25.88,15,NaN,NaN
65.25,71.75,-5.78,490.73,7,0.87794,0.87794
-86.25,-31.75,-42.02,53.86,15,NaN,NaN
-86.25,31.75,-49.93,14.84,15,NaN,NaN
81.25,-13.75,-15.21,159.1,16,NaN,NaN
-81.25,-13.75,-31.02,302.29,15,NaN,NaN
