"value","units","time","era","variable","model","experiment","ensemble","grid","year","month"
0.384346447727935,NA,18710315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","03"
0.415951711798455,NA,18710415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","04"
0.369297153121637,NA,18710515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","05"
0.22412519855035,NA,18710615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","06"
0.221131088092939,NA,18710715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","07"
0.241526350674146,NA,18710815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","08"
0.263875450189871,NA,18710915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","09"
0.356492839954804,NA,18711015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","10"
0.560884584662268,NA,18711115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","11"
0.635968939149765,NA,18711215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","12"
